Resturant_Name,Cuisine,Location,Dining_Ratings,Delivery_Ratings,City
Keventers - Milkshakes & Desserts,"Beverages

Shake

Ice Cream

Desserts","44A, Ground Floor, Sarat Bose Road, Paddapukur, Kolkata",,4.2,Kolkata
ENSO - Sourdough Pizza By Nomad,"Pizza

Fast Food

Desserts

Beverages","195, 1st Floor, Rash Behari Avenue, Ballygunge, Kolkata",,4.0,Kolkata
Kwality Wallâ€™s Ice Cream and More,"Ice Cream

Desserts","191, Parkstreet, Borough-Vi, Park Circus Area, Kolkata",,4.4,Kolkata
Pizza Hut,"Pizza

Pasta

Italian

Fast Food",300,3.9,4.0,Kolkata
Burger King,"Burger

Fast Food

Desserts

Beverages","1, Ground Floor, Humayun Place, New Market Area, Kolkata",,4.2,Kolkata
Olio - The Wood Fired Pizzeria,"Pizza

Italian

Fast Food

Beverages","151, Kadamtala, Narasingha Dutta Road, Shibpur, Howrah",,4.0,Kolkata
Haji Saheb,"Chinese

Mughlai

Biryani

North Indian

Kebab

Seafood","26, Circus Avenue, Park Circus Area, Kolkata",3.8,4.3,Kolkata
Wow! Momo,"Momos

Chinese

Fast Food

Asian

Beverages","Shop 1, Sealdah Railway Station, Sealdah Area, Kolkata",,4.1,Kolkata
Sharma Dhaba,"North Indian

Biryani

Chinese

Kebab

Rolls

Beverages","17/1B, Pramathesh Barua Sarani, Ward 69, Paddapukur, Kolkata",3.9,4.1,Kolkata
